Які дві ціннісні форми людського буття мають значний вплив на розвиток суспільства та стан законності в державі?,Право і мораль.
"Які два підходи до співвідношення права і моралі в історії призводили до перегинів, таких як релігійні переслідування або байдужість права до моральних проблем?",Ототожнення права й моралі та їх різке відмежування.
"В рамках якої теорії права мораль розглядається як основа, а позитивне право має відповідати «природним» законам?",Теорії природного права.
"Як називається принцип, згідно з яким право залежить від моралі, що притаманно теоріям природного права?",Принцип моралізації права.
"Згідно з деонтологічною етикою Іммануїла Канта, моральний закон є _____, оскільки він абсолютний.",категоричним імперативом
У чому Кант вбачав різницю між моральним і правовим примусом?,"У моралі індивід примушує себе сам, а в праві монополія на примус належить державі."
"Що є спільною сферою, яка поєднує право й мораль?",Прагнення встановити певні стандарти поведінки.
"Як право, засноване на моральних принципах, впливає на його сприйняття суспільством?","Воно легше сприймається людьми, не викликає відторгнення, і його норми рідше ігнорують та порушують."
Що таке механізм захисту прав людини і громадянина?,"Комплексна система державних та недержавних інститутів, юридичних норм і процедур для реалізації та охорони прав і свобод."
Назвіть два типи механізмів захисту прав за територіальною ознакою.,Внутрішньодержавні та міжнародні.
Як класифікуються механізми захисту прав за характером повноважень?,"Юрисдикційні (мають владні повноваження) та неюрисдикційні (здійснюють контроль, моніторинг, надають рекомендації)."
Який неюрисдикційний інститут в Україні призначений для виявлення та усунення системних порушень прав людини?,Уповноважений Верховної Ради України з прав людини (Омбудсман).
Який конституційний інститут в Україні здійснює парламентський контроль за додержанням конституційних прав і свобод?,Уповноважений Верховної Ради України з прав людини (Омбудсман).
"Що таке «місця несвободи», які Омбудсман має право відвідувати без попереднього повідомлення?","Це місця, такі як слідчі ізолятори чи установи виконання покарань."
Яке право має Уповноважений щодо неконституційних правових актів?,Звертатися до Конституційного Суду України з конституційним поданням.
На яку електронну адресу можна надіслати звернення до Уповноваженого з прав людини?,hotline@ombudsman.gov.ua.
Чи розглядається анонімне електронне звернення до Уповноваженого з прав людини?,"Ні, не підписане звернення, з якого неможливо встановити авторство, розгляду не підлягає."
Який максимальний строк подання звернення до Уповноваженого після виявлення порушення прав?,Протягом одного року (у виняткових випадках може бути подовжений до двох років).
"Який принцип лежить в основі функціонування Європейського суду з прав людини (ЄСПЛ), що означає його роль як механізму останньої інстанції?",Принцип субсидіарності.
"Яка головна умова для звернення до ЄСПЛ, пов'язана з національною системою правосуддя?",Вичерпання всіх ефективних національних засобів правового захисту.
"Які норми, крім права та моралі, належать до системи соціальних норм?","Звичаї, релігійні та корпоративні норми."
Яка головна відмінність між правовими та моральними нормами за формою існування?,"Право має писаний характер (закони), а мораль існує переважно в усній формі (громадська думка)."
Чим забезпечується виконання норм права на відміну від норм моралі?,"Виконання норм права забезпечується державою, а норм моралі — внутрішнім переконанням та громадським осудом."
Що таке правовідносини?,"Це суспільні відносини, врегульовані нормами права, учасники яких є носіями юридичних прав та обов'язків."
"Назвіть три ключові умови, необхідні для виникнення правовідносин.","Наявність правової норми, наявність суб'єктів з правосуб'єктністю та настання юридичного факту."
З яких трьох елементів складаються правовідносини?,"Суб'єкти, об'єкт та зміст."
Що є об'єктом правовідносин?,"Матеріальні та нематеріальні блага, дії суб'єктів, з приводу чого виникають правовідносини."
Що таке юридичний зміст правовідносин?,Суб'єктивні права та юридичні обов'язки сторін.
Дайте визначення поняттю «правопорушення».,"Протиправне, винне, суспільно небезпечне діяння (дія або бездіяльність), яке тягне за собою юридичну відповідальність."
Що є єдиною і необхідною підставою для притягнення до юридичної відповідальності?,Наявність повного складу правопорушення.
Назвіть чотири елементи складу правопорушення (corpus delicti).,"Об'єкт, об'єктивна сторона, суб'єкт, суб'єктивна сторона."
Що є об'єктом правопорушення?,"Суспільні відносини, які охороняються законом і яким завдається шкода."
Що включає в себе об'єктивна сторона правопорушення?,"Зовнішній прояв діяння: сама дія/бездіяльність, наслідок та причинний зв'язок між ними."
Які дві основні вимоги до фізичної особи як суб'єкта правопорушення?,Вона повинна бути осудною та досягти встановленого законом віку юридичної відповідальності.
Чи може юридична особа бути суб'єктом кримінального злочину в Україні?,"Ні, юридичні особи не можуть бути суб'єктом кримінального злочину."
Що таке суб'єктивна сторона правопорушення?,Внутрішнє психічне ставлення особи до вчиненого діяння та його наслідків.
Назвіть обов'язкову ознаку суб'єктивної сторони правопорушення.,Вина (у формі умислу або необережності).
Назвіть факультативні ознаки суб'єктивної сторони правопорушення.,Мотив та мета.
"Мотив як елемент суб'єктивної сторони правопорушення відповідає на питання '_____', а мета — на питання 'до чого прагнула особа'.",чому
